Year,Organization,Project,Type,Priority,Funding_Request,Funding_Award,Total_Score,App_Type,Priority_Category
2019,HI Tiger/ Center For Cultural Production,Greater Accessibility for Community Programs and Events,CON,NI,35000.0,,53.5,Construction/Development,NI
2019,Police Department,Community Policing (set aside),SS,NI,150000.0,150000.0,,Social Services,NI
2019,Catherine Morrill Day Nursery,Portland CDBG Child Care Voucher Collaborative ,SS,EO,83510.0,75049.0,95.83333,Social Services,EO
2019,Milestones,Homeless Outreach and Mobile Engagement (HOME) team ,SS,ANGHP,114000.0,113844.0,95.0,Social Services,ANGHP
2019,COP Public Health Division,Mobile Medical Outreach ,SS,ANGHP,50000.0,29944.0,94.33333,Social Services,ANGHP
2019,Wayside Foods,Direct Service Program ,SS,ANGHP,34000.0,33940.0,94.16667,Social Services,ANGHP
2019,COP Oxford Street Shelter,Long Term Stayers Program ,SS,ANGHP,66868.0,56469.0,92.66667,Social Services,ANGHP
2019,Portland Adult Education,New Mainers Resource Center Job Search Support Program ,SS,EO,49056.0,44077.0,91.66667,Social Services,EO
2019,Spurwink,Adult Behavioral Health Opioid Medication Assisted Treatment Program ,SS,ANGHP,75444.0,51915.0,90.999997,Social Services,ANGHP
2019,Learning Works,English Language and Literacy Program ,SS,EO,45000.0,,89.83334,Social Services,EO
2019,Shalom House,Expanded Case Management at Oxford Street Shelter,SS,ANGHP,62943.0,,89.6,Social Services,ANGHP
2019,Preble Street,Food Programs ,SS,ANGHP,43568.0,43496.0,89.5,Social Services,ANGHP
2019,Preble Street,Florence House,SS,ANGHP,20000.0,10000.0,88.666667,Social Services,ANGHP
2019,Preble Street,Joe Kesler Teen Shelter,SS,ANGHP,26140.0,10000.0,88.33334,Social Services,ANGHP
2019,Catholic Charities and Immigrant Legal Advocacy Project (ILAP),Immigrant Legal Services,SS,EO,51345.0,,88.00001,Social Services,EO
2019,Preble Street,Resource Center,SS,ANGHP,25667.0,,87.16666,Social Services,ANGHP
2019,Furniture Friends,Basic Necessities Program ,SS,ANGHP,30000.0,,85.33333,Social Services,ANGHP
2019,Quality Housing Coalition,Project HOME,SS,ANGHP,32000.0,,84.49999,Social Services,ANGHP
2019,Salvation Army,Pathway of Hope Program ,SS,EO,50000.0,,77.66666,Social Services,EO
2019,Habesha Community,1st Generation Immigrant Youth ,SS,EO,15000.0,,55.16667,Social Services,EO
2020,Community Housing of Maine,Middle Street Apartments ,CON ,HA ,200000.0,,87.66666667,Construction/Development,HA
2020,COP Public Works,Freshman Alley Lighting ,CON ,NI,50000.0,,86.0,Construction/Development,NI
2020,"COP Dept. of Parks, Recreation and Facilities",Riverton Elementary School ADA Inclusive Playground,CON ,NI,40680.0,,85.44444444,Construction/Development,NI
2020,Catherine Morrill Day Nursery,Energy Efficiency Improvement Plan ,CON ,EO,59724.0,,84.77777778,Construction/Development,EO
2020,Portland Housing Development Corporation,Washington Gardens,CON ,HA ,184150.0,,84.44444444,Construction/Development,HA
2020,COP Public Works,Bayside Area Sidewalk,CON ,NI,249000.0,,84.33333333,Construction/Development,NI
2020,Port Resources,Group Homes Heat Pump Project,CON ,HA ,21000.0,,83.875,Construction/Development,HA
2020,Catherine Morrill Day Nursery,Life Safety Repairs Project ,CON ,EO,30300.0,,82.88888889,Construction/Development,EO
2020,Portland Housing Development Corporation,Harbor Terrace,CON ,HA ,155000.0,,82.77777778,Construction/Development,HA
2020,First Parish Church,"""A Church for EveryBODY"" Accessibility Project ",CON ,NI,75000.0,,79.66666667,Construction/Development,NI
2020,COP Public Works,Sidewalk Curb Ramp ADA Improvements,CON ,NI ,50000.0,,76.0,Construction/Development,NI
2020,Portland Housing Authority,Franklin Towers Security Upgrades,CON ,HA ,142000.0,,75.55555556,Construction/Development,HA
2020,Maine Irish Heritage Center,Upper Sanctuary Accessibility ,CON ,NI,15000.0,,73.88888889,Construction/Development,NI
2020,Maine Irish Heritage Center,Front Stairway Restoration ,CON ,NI ,17000.0,,71.44444444,Construction/Development,NI
2020,Bethel Kids Care,Rehabilitation of the exisiting Childcare Building ,CON ,EO,180631.0,,70.55555556,Construction/Development,EO
2020,COP  Portland Fire Department,Fire Alarm System Bramhall Station ,CON ,NI ,40000.0,,65.11111111,Construction/Development,NI
2020,Portland Museum of Art,Maine Entrance Accessibility Improvements ,CON ,NI ,247960.0,,63.875,Construction/Development,NI
2020,Police Department,Community Policing (set aside) ,SS,NI ,150000.0,,0.0,Social Services,NI
2020,Wayside Foods,Direct Service Program ,SS,ANGP,34000.0,,95.44444444,Social Services,Other
2020,Preble Street,Florence House Woman’s Shelter,SS,ANGP,20000.0,,94.33333333,Social Services,Other
2020,Preble Street,Food Programs,SS,ANGP,43568.0,,94.11111111,Social Services,Other
2020,COP - Oxford Street Shelter,Long Term Stayers Community Integration and Landlord Outreach,SS,ANGP,71049.0,,93.55555556,Social Services,Other
2020,Milestone,Homeless Outreach and Mobile Engagement (HOME) Team,SS,ANGP,120000.0,,92.55555556,Social Services,Other
2020,Preble Street,Joe Kreisler Teen Shelter,SS,ANGP,26140.0,,92.55555556,Social Services,Other
